G01;Adquisicion de mercancias
G02;"Devoluciones, descuentos o bonificaciones"
G03;Gastos en general
I01;Construcciones
I02;Mobilario y equipo de oficina por inversiones
I03;Equipo de transporte
I04;Equipo de computo y accesorios
I05;"Dados, troqueles, moldes, matrices y herramental"
I06;Comunicaciones telefonicas
I07;Comunicaciones satelitales
I08;Otra maquinaria y equipo
D01;"Honorarios medicos, dentales y gastos hospitalarios."
D02;Gastos medicos por incapacidad o discapacidad
D03;Gastos funerales.
D04;Donativos.
D05;Intereses reales efectivamente pagados por creditos hipotecarios (casa habitacion).
D06;Aportaciones voluntarias al SAR.
D07;Primas por seguros de gastos medicos.
D08;Gastos de transportacion escolar obligatoria.
D09;"Depositos en cuentas para el ahorro, primas que tengan como base planes de pensiones."
D10;Pagos por servicios educativos (colegiaturas)
P01;Por definir
